Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
UK,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29,118.02056194324405,12.454482303492183,3.4423393249933305,0,High Loss Fast Resolution Incidents
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53,780.2856966174015,11.300425073754498,4.160288345516135,3,High Per-User Damage Incidents
Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4,85.1027397260274,13.747660961261007,4.388505600771591,0,High Loss Fast Resolution Incidents
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34,6418.555428168269,9.336091577281744,4.3010876921685295,3,High Per-User Damage Incidents
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60,86.7074858942041,13.736372107993148,4.395806258082254,2,High Loss Long Resolution Incidents
Australia,2019,Phishing,Education,10.87,812343,Insider,Social Engineering,Antivirus,16,13.381047168499022,13.60767917475167,2.4740142086215764,1,Low Loss Wide Exposure Incidents
UK,2015,DDoS,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28,13.117493660252421,13.69944292516276,2.5400259490090797,1,Low Loss Wide Exposure Incidents
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62,36.92651353193123,12.915299846801759,2.773213527008623,1,Low Loss Wide Exposure Incidents
Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32,100.73765997289384,13.781510035873941,4.588735879524666,0,High Loss Fast Resolution Incidents
India,2022,SQL Injection,IT,32.73,153154,Hacker Group,Zero-day,VPN,37,213.7064653877796,11.939205759458979,3.5183876490735586,3,High Per-User Damage Incidents
France,2018,SQL Injection,Government,80.06,400807,Unknown,Weak Passwords,Firewall,67,199.74701040650487,12.901237788633432,4.395189621200163,2,High Loss Long Resolution Incidents
Japan,2015,SQL Injection,Retail,70.88,43366,Unknown,Weak Passwords,AI-based Detection,43,1634.4601761748836,10.677454062198027,4.274998061915358,3,High Per-User Damage Incidents
China,2018,Malware,Education,95.42,917848,Insider,Social Engineering,VPN,30,103.960568634458,13.729788168055562,4.568713648977476,0,High Loss Fast Resolution Incidents
Germany,2022,SQL Injection,IT,6.31,742273,Hacker Group,Zero-day,AI-based Detection,67,8.50091543138441,13.517473726222502,1.9892432737616872,1,Low Loss Wide Exposure Incidents
Germany,2023,Malware,Banking,70.19,791366,Unknown,Unpatched Software,Firewall,61,88.69473795942712,13.58151710880781,4.265352359115782,2,High Loss Long Resolution Incidents
France,2022,Malware,IT,92.29,727826,Unknown,Weak Passwords,Encryption,63,126.80228516156335,13.497818661575954,4.53571292097287,2,High Loss Long Resolution Incidents
Russia,2017,Phishing,Retail,20.58,768022,Unknown,Zero-day,VPN,64,26.796107403173348,13.551574959598046,3.0717669598299886,2,High Loss Long Resolution Incidents
UK,2019,Malware,Education,90.7,440178,Insider,Unpatched Software,VPN,15,206.0530058294599,12.994936741348182,4.51852237926242,0,High Loss Fast Resolution Incidents
Brazil,2017,Man-in-the-Middle,IT,71.06,871891,Unknown,Social Engineering,Antivirus,52,81.50101331473773,13.678420842009665,4.277499105319947,2,High Loss Long Resolution Incidents
India,2018,Malware,Healthcare,30.83,481452,Unknown,Weak Passwords,AI-based Detection,57,64.03545940197569,13.08456389382567,3.4604092412940015,2,High Loss Long Resolution Incidents
Australia,2024,Ransomware,Education,44.95,500747,Insider,Unpatched Software,AI-based Detection,58,89.76588976069752,13.123858259511103,3.827553848801696,2,High Loss Long Resolution Incidents
UK,2022,DDoS,IT,29.05,186700,Insider,Weak Passwords,Antivirus,37,155.59721478307446,12.137263685701864,3.4028626609812167,2,High Loss Long Resolution Incidents
Russia,2024,DDoS,Telecommunications,55.05,363906,Insider,Weak Passwords,Antivirus,31,151.27532934329196,12.804653619469102,4.026244149518169,0,High Loss Fast Resolution Incidents
China,2017,Ransomware,Education,25.73,639190,Insider,Social Engineering,Encryption,33,40.25407155931726,13.36795859323495,3.2857865301508276,0,High Loss Fast Resolution Incidents
Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19,276.633910976975,12.629688690847741,4.448633328167864,0,High Loss Fast Resolution Incidents
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44,69.63249516441006,13.125340940061578,3.581294243433999,2,High Loss Long Resolution Incidents
Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56,104.96385332761214,12.81644401188125,3.680090948080857,2,High Loss Long Resolution Incidents
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54,331.74746796649254,12.051206709968508,4.057507672170127,2,High Loss Long Resolution Incidents
UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36,4628.779782485698,9.67457740632758,4.312542571143296,3,High Per-User Damage Incidents
China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60,87.85248129691078,13.61304057809367,4.287028906051602,2,High Loss Long Resolution Incidents
India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5,161.34026084190435,13.063782540635671,4.344843843546165,0,High Loss Fast Resolution Incidents
France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43,81.62700294783089,13.68918400517809,4.289637185380534,2,High Loss Long Resolution Incidents
UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42,65.36718476822554,13.499793827838957,3.885062823845363,2,High Loss Long Resolution Incidents
India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44,46.48555349962467,13.637107314544213,3.686125665917315,2,High Loss Long Resolution Incidents
Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8,324.1065555799167,12.114182112064725,4.0965088850514775,0,High Loss Fast Resolution Incidents
Australia,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71,103.42598577892696,12.585823285798346,3.441699324971485,2,High Loss Long Resolution Incidents
France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44,870.5679448098829,11.510211786272546,4.475289265133571,3,High Per-User Damage Incidents
UK,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8,597.0875239463602,11.80285251557175,4.391853195491617,0,High Loss Fast Resolution Incidents
Japan,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62,172.15618762279362,13.142171887036149,4.486386649998124,2,High Loss Long Resolution Incidents
India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55,123.10525043242137,13.195002127923187,4.207524426932059,2,High Loss Long Resolution Incidents
France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5,26.204946368690273,12.912303855638042,2.4527277514237653,1,Low Loss Wide Exposure Incidents
France,2018,SQL Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44,2.5252122507349695,12.837894802799827,0.6678293725756554,1,Low Loss Wide Exposure Incidents
Japan,2022,DDoS,Telecommunications,34.31,305329,Unknown,Unpatched Software,Firewall,40,112.37059041230934,12.629148437898,3.564166209940295,2,High Loss Long Resolution Incidents
Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15,955.5459321044605,10.880158170398996,3.9464244321454784,3,High Per-User Damage Incidents
Brazil,2022,Man-in-the-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39,86.71391192277369,13.709349722135679,4.369194655858504,2,High Loss Long Resolution Incidents
USA,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63,400.22060390318495,12.385657126614243,4.572543683160998,2,High Loss Long Resolution Incidents
Russia,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56,3.5606144766039143,12.768723822009118,0.8109302162163288,1,Low Loss Wide Exposure Incidents
France,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30,44.713257186490345,13.404029389600957,3.421979920844684,0,High Loss Fast Resolution Incidents
China,2016,DDoS,IT,18.96,122866,Insider,Unpatched Software,VPN,46,154.31445639965492,11.718857748514058,2.993730270883318,3,High Per-User Damage Incidents
USA,2021,SQL Injection,Education,45.52,838652,Unknown,Social Engineering,Encryption,20,54.27757878118695,13.63955231229411,3.839882327650464,0,High Loss Fast Resolution Incidents
Brazil,2024,SQL Injection,Education,14.69,783795,Insider,Weak Passwords,AI-based Detection,43,18.742145586537298,13.571904061391956,2.753023566744941,1,Low Loss Wide Exposure Incidents
Australia,2019,DDoS,Banking,1.27,588345,Insider,Unpatched Software,Firewall,49,2.158597421580875,13.285070489194705,0.8197798314933114,1,Low Loss Wide Exposure Incidents
France,2021,Phishing,IT,76.02,573328,Insider,Zero-day,AI-based Detection,10,132.59425669075992,13.259215001953429,4.344065128386763,0,High Loss Fast Resolution Incidents
France,2020,Malware,Banking,50.19,760230,Nation-state,Zero-day,VPN,56,66.0194941004696,13.541377613448292,3.935544200469492,2,High Loss Long Resolution Incidents
France,2016,Man-in-the-Middle,IT,41.79,453408,Nation-state,Social Engineering,VPN,8,92.16864281177217,13.024549866880612,3.7563044304287256,0,High Loss Fast Resolution Incidents
Japan,2023,Man-in-the-Middle,Government,81.57,738014,Unknown,Social Engineering,Antivirus,24,110.52635857856355,13.511719428579308,4.413646418429337,0,High Loss Fast Resolution Incidents
USA,2021,DDoS,Education,87.32,315915,Nation-state,Social Engineering,Antivirus,52,276.403462956808,12.6632316344471,4.480966582528785,2,High Loss Long Resolution Incidents
France,2020,Ransomware,Telecommunications,10.52,253094,Hacker Group,Unpatched Software,VPN,19,41.56558432835231,12.441520191300548,2.444084655267745,1,Low Loss Wide Exposure Incidents
China,2015,SQL Injection,Telecommunications,34.84,712886,Hacker Group,Weak Passwords,Antivirus,7,48.87176911876513,13.477078201562822,3.57906458810673,0,High Loss Fast Resolution Incidents
Japan,2022,Ransomware,IT,84.09,991854,Unknown,Unpatched Software,VPN,11,84.78062295458807,13.80733220622839,4.443709519861466,0,High Loss Fast Resolution Incidents
Australia,2022,Ransomware,Healthcare,17.58,18399,Unknown,Zero-day,Firewall,14,955.4867112343062,9.820105943597078,2.922085733385692,3,High Per-User Damage Incidents
Brazil,2021,DDoS,Retail,75.1,740795,Hacker Group,Unpatched Software,Firewall,12,101.37757409269771,13.515480562731494,4.33204826486764,0,High Loss Fast Resolution Incidents
China,2023,Ransomware,Education,45.88,164890,Unknown,Weak Passwords,AI-based Detection,20,278.2461034629147,12.013039928525783,3.8475911452687575,0,High Loss Fast Resolution Incidents
India,2018,Phishing,IT,70.85,677164,Nation-state,Weak Passwords,Firewall,7,104.62753483646502,13.42567024450324,4.274580612525034,0,High Loss Fast Resolution Incidents
Russia,2021,Man-in-the-Middle,Retail,39.73,80069,Insider,Unpatched Software,VPN,8,496.1970300615719,11.290656531066679,3.706964921660321,3,High Per-User Damage Incidents
Japan,2016,Malware,Telecommunications,87.52,476001,Hacker Group,Social Engineering,VPN,58,183.86515994714296,13.073177334885402,4.483228515182849,2,High Loss Long Resolution Incidents
USA,2017,Phishing,IT,48.96,480386,Nation-state,Zero-day,Antivirus,18,101.9180409087692,13.082347308039134,3.911222685257377,0,High Loss Fast Resolution Incidents
Japan,2022,Malware,Retail,26.7,50007,Nation-state,Weak Passwords,Antivirus,19,533.925250464935,10.819938271611647,3.3214324131932926,3,High Per-User Damage Incidents
India,2015,SQL Injection,Government,56.84,631420,Nation-state,Unpatched Software,Firewall,68,90.01932152925153,13.355728113976449,4.057680577850509,2,High Loss Long Resolution Incidents
Germany,2024,Phishing,IT,2.85,951767,Nation-state,Weak Passwords,AI-based Detection,10,2.994430359531272,13.766076586595455,1.3480731482996928,1,Low Loss Wide Exposure Incidents
UK,2015,Malware,Government,68.8,284512,Nation-state,Social Engineering,Antivirus,23,241.81756832752222,12.558534225704927,4.2456340097683265,0,High Loss Fast Resolution Incidents
Australia,2022,Man-in-the-Middle,Banking,34.16,346224,Nation-state,Zero-day,Encryption,64,98.66444844955866,12.754844131710918,3.559909072816976,2,High Loss Long Resolution Incidents
Australia,2015,DDoS,IT,61.01,419127,Unknown,Social Engineering,Firewall,26,145.5644709121579,12.945931641512075,4.127295662361787,0,High Loss Fast Resolution Incidents
China,2016,DDoS,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2,139.79888280929592,13.458538427012712,4.593401202388092,0,High Loss Fast Resolution Incidents
Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4,483.6858856388161,12.126753426075908,4.5038016915998025,0,High Loss Fast Resolution Incidents
France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15,176.3729594490822,12.551731130503073,3.928683446321253,0,High Loss Fast Resolution Incidents
China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10,129.21759766545358,13.177631561440569,4.2381562642541795,0,High Loss Fast Resolution Incidents
China,2015,DDoS,Government,97.15,399851,Nation-state,Social Engineering,VPN,38,242.9655046504823,12.89884975762323,4.58649692072247,2,High Loss Long Resolution Incidents
Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40,7.045484136709162,13.619257202783922,1.9154509415706047,1,Low Loss Wide Exposure Incidents
Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20,117.63985860721156,13.312252891498048,4.2783313983351166,0,High Loss Fast Resolution Incidents
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45,3036.424760201092,10.386654168308144,4.599655005299981,3,High Per-User Damage Incidents
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3,61.71935426473596,13.624543738345286,3.9510513923956245,0,High Loss Fast Resolution Incidents
UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69,101360.54421768707,6.601230118728877,4.324132656254979,3,High Per-User Damage Incidents
UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7,29.57398738087326,13.01336960278074,2.65745841498615,1,Low Loss Wide Exposure Incidents
USA,2021,Phishing,Banking,28.75,959107,Unknown,Zero-day,Antivirus,35,29.975800406002666,13.77375896483442,3.392829131991639,0,High Loss Fast Resolution Incidents
Brazil,2015,SQL Injection,IT,86.67,694491,Unknown,Unpatched Software,Firewall,65,124.79643364708829,13.450935922031716,4.473579765600494,2,High Loss Long Resolution Incidents
Japan,2021,Man-in-the-Middle,Retail,9.97,536471,Hacker Group,Weak Passwords,Encryption,72,18.584415560207354,13.192769649569783,2.395164274287139,1,Low Loss Wide Exposure Incidents
UK,2016,Ransomware,Government,83.67,701152,Nation-state,Social Engineering,Firewall,53,119.33218474738716,13.46048140183066,4.438761347654186,2,High Loss Long Resolution Incidents
China,2021,Ransomware,Government,5.96,92237,Nation-state,Weak Passwords,AI-based Detection,47,64.61615186964016,11.432127472140655,1.9401794743463283,1,Low Loss Wide Exposure Incidents
USA,2017,Phishing,Retail,15.24,599197,Unknown,Zero-day,AI-based Detection,8,25.43403922249277,13.303347373395864,2.787477334733532,0,High Loss Fast Resolution Incidents
Germany,2017,Malware,Healthcare,49.09,397361,Hacker Group,Weak Passwords,Encryption,57,123.54005551626858,12.892602982987812,3.9138213873695253,2,High Loss Long Resolution Incidents
UK,2016,Ransomware,Retail,32.16,329026,Nation-state,Weak Passwords,VPN,31,97.74303550479293,12.703895093249509,3.501344330267094,0,High Loss Fast Resolution Incidents
India,2015,Ransomware,IT,61.68,503774,Hacker Group,Zero-day,Firewall,37,122.43585417270442,13.129885018803176,4.13804241748782,2,High Loss Long Resolution Incidents
UK,2015,Ransomware,Telecommunications,22.58,368441,Hacker Group,Weak Passwords,AI-based Detection,71,61.28525326985867,12.817038583379698,3.160398895109225,2,High Loss Long Resolution Incidents
Brazil,2017,Phishing,IT,26.62,955790,Nation-state,Zero-day,Encryption,44,27.8513062492807,13.770294548886005,3.318540147981146,2,High Loss Long Resolution Incidents
UK,2020,Man-in-the-Middle,Telecommunications,63.35,294447,Unknown,Zero-day,AI-based Detection,54,215.14907606462285,12.592857696024975,4.164336934042136,2,High Loss Long Resolution Incidents
